id,name,description,instructions,has_reminder,reminder_frequency,version,is_active
100000,list_builder,Dynamic list builder with add/remove functionality,"Add items to your list. You can reorder, edit, or remove items.",False,,1,True
100001,soared_form,"Structured form for SOARED story framework (Situation, Obstacle, Action, Result, Evaluation, Discovery)","Fill in each field: Situation, Obstacle, Action, Result, Evaluation, Discovery.",False,,1,True
100002,skill_tagger,Tag and categorize skills from stories,Tag skills mentioned in your stories. Use the Skills Library for reference.,False,,1,True
100003,ranking_grid,Drag-and-drop grid for ranking items 1-10,Compare items pairwise to establish priority order from 1-10.,False,,1,True
100004,mbti_selector,4-letter personality type selector,Enter your 4-letter personality code from 16personalities.com.,False,,1,True
100005,budget_calculator,Monthly/annual budget calculator with BATNA,Enter your monthly expenses to calculate annual needs and minimum hourly rate.,False,,1,True
100006,flow_tracker,Daily tracker for energy and focus levels on activities,Rate each activity on energy (-2 to +2) and focus level. Mark high-flow activities.,True,daily,1,True
100007,life_dashboard,"Dashboard for rating life areas (work, play, love, health)","Rate each life area (work, play, love, health) from 1-10 and add notes.",False,,1,True
100008,mindset_profiles,Display mindset profile information,Review the five designer mindsets and select characters that represent each.,False,,1,True
100009,failure_reframer,Tool for reframing failures as learning opportunities,"Describe a failure, then reframe it as a learning opportunity.",False,,1,True
100010,idea_tree,Visual brainstorming tree structure,Start with a central word and branch out with related ideas and possibilities.,False,,1,True
100011,job_combiner,Combine ideas into potential job descriptions,Combine elements from your idea trees into potential job descriptions.,False,,1,True
100012,career_timeline,5-year career timeline planner,Plot key milestones for the next 5 years including work and life events.,False,,1,True
100013,career_assessment,Career option scoring and comparison,"Score this career option on coherence, work needs, life needs, and unknowns.",False,,1,True
100014,job_analyzer,Analyze job descriptions for keywords,"Paste job descriptions to extract keywords, requirements, and patterns.",False,,1,True
100015,credential_writer,Rewrite credentials using employer language,Rewrite your experience using keywords and language from job descriptions.,False,,1,True
100016,resume_builder,Structured resume building tool,Build your resume section by section using your prepared content.,False,,1,True
100017,company_tracker,Track target companies,Maintain your list of target companies with status and notes.,False,,1,True
100018,company_researcher,Company research template,Research and document key information about target companies.,False,,1,True
100019,research_tracker,Track research progress,Track your research progress across companies.,False,,1,True
100020,contact_tracker,Track networking contacts,Track contacts at each company with relationship status.,False,,1,True
100021,networking_tracker,Track networking activities,Log daily networking activities and connection requests.,False,,1,True
100022,outreach_tracker,Track outreach attempts and responses,"Log outreach attempts, responses, and follow-up actions.",False,,1,True
100023,meeting_prep,Meeting preparation template,"Prepare for meetings with research, questions, and talking points.",False,,1,True
100024,meeting_notes,Meeting notes template,"Capture key points, action items, and follow-ups from meetings.",False,,1,True
100025,referral_tracker,Track referrals received,Track referrals received and their outcomes.,False,,1,True
100026,opportunity_tracker,Track job opportunities,Track job opportunities through the application pipeline.,False,,1,True
