id,name,definition,category,sort_order,relevant_modules
comp-01,Analytical Thinking,"The ability to break down complex situations, spot patterns across seemingly unrelated information, and identify the root issues that matter most.",delivery,1,"[""2.5""]"
comp-02,Achievement Focus,"Taking ownership of outcomes and driving toward results. This means setting meaningful goals, working efficiently within constraints, and seizing opportunities when they arise.",delivery,2,"[""2.5""]"
comp-03,Written Communication,"Expressing ideas clearly in writing, adapting tone and complexity for different audiences, and ensuring your message lands the way you intend it to.",delivery,3,"[""2.5""]"
comp-04,Adaptive Thinking,"Adjusting your approach when circumstances change. This includes embracing different perspectives, pivoting when needed, and staying effective in ambiguous situations.",delivery,4,"[""2.5""]"
comp-05,Resource Management,"Understanding what people, money, and operational capacity you have available—and making smart decisions about how to deploy them for maximum impact.",delivery,5,"[""2.5""]"
comp-06,Team Collaboration,"Working effectively with others toward shared goals. At higher levels, this includes leading teams, building trust across groups, and creating environments where people do their best work.",delivery,6,"[""2.5""]"
comp-07,Client Orientation,"Understanding what your stakeholders actually need (not just what they ask for), anticipating their concerns, and delivering solutions that genuinely help them.",interpersonal,1,"[""2.5""]"
comp-08,Interpersonal Awareness,"Reading people accurately—hearing what's said and unsaid, understanding motivations, and navigating cultural differences with sensitivity. Includes managing your own reactions under pressure.",interpersonal,2,"[""2.5""]"
comp-09,Persuasion,"Moving people toward your position through honest, respectful means. This involves understanding what others care about and framing your ideas in ways that resonate with them.",interpersonal,3,"[""2.5""]"
comp-10,Negotiation,"Working toward outcomes where everyone walks away with something. This ranges from basic give-and-take to orchestrating complex multi-party agreements.",interpersonal,4,"[""2.5""]"
comp-11,Organizational Savvy,"Understanding how power and decisions actually flow in organizations—who influences whom, what the unwritten rules are, and how to navigate formal and informal structures effectively.",interpersonal,5,"[""2.5""]"
comp-12,Talent Development,"Creating conditions for people to grow. This includes sharing knowledge, giving useful feedback, delegating meaningfully, and building environments where learning happens naturally.",strategic,1,"[""2.5""]"
comp-13,Mission Alignment,"Connecting your work to larger organizational goals and acting in ways that advance the collective mission, even when it means deprioritizing personal preferences.",strategic,2,"[""2.5""]"
comp-14,Relationship Building,"Cultivating and maintaining connections with people who matter for long-term success—inside and outside your organization. Real relationships, not just transactional contacts.",strategic,3,"[""2.5""]"
comp-15,Strategic Thinking,"Seeing the big picture—how trends, opportunities, threats, and resources connect. This means linking daily decisions to long-term direction and helping others see that connection too.",strategic,4,"[""2.5""]"
