code,name,summary
ENFJ,The Teacher,"You lead with warmth and conviction. Your natural gift is seeing potential in people and inspiring them to reach it. You thrive in roles where you can guide, develop, and advocate for others—teaching, coaching, HR, counseling, or leading mission-driven teams. You're energized by collaboration and creating harmony, but watch your tendency to overextend for others at your own expense. Your superpower: making people feel seen and capable. Your kryptonite: taking criticism personally and avoiding necessary conflict."
INFJ,The Counselor,"You're driven by vision and values. Quietly intense, you see patterns others miss and work tirelessly toward meaningful goals. You excel in roles requiring insight into human nature—counseling, writing, strategy, nonprofit work, or any field where you can make a difference without being in the spotlight. You need autonomy and time to think deeply. Your superpower: understanding what people need before they say it. Your kryptonite: perfectionism and getting so absorbed in your vision that you miss practical details."
ENFP,The Champion,"You see possibilities everywhere. Creative, enthusiastic, and genuinely interested in people, you bring energy to everything you touch. You thrive in roles that let you innovate, inspire, and connect—marketing, entrepreneurship, consulting, journalism, or creative fields. Routine kills you; novelty fuels you. Your superpower: generating ideas and rallying people around them. Your kryptonite: starting more projects than you finish and struggling with follow-through on the boring parts."
INFP,The Healer,"You're guided by deep personal values and a desire for authenticity. Idealistic and empathetic, you excel in work that aligns with your beliefs—writing, counseling, art, advocacy, or helping professions. You need meaning more than status, and you'd rather do something that matters than something that pays well but feels hollow. Your superpower: understanding emotions and expressing complex ideas. Your kryptonite: being so idealistic that reality disappoints you, and avoiding confrontation even when it's necessary."
ENTJ,The Commander,"You're built to lead. Strategic, decisive, and driven, you see inefficiency as a personal offense and naturally take charge to fix it. You thrive in leadership roles—executive positions, entrepreneurship, law, consulting, or anywhere you can build systems and drive results. You respect competence and have little patience for excuses. Your superpower: turning vision into reality through sheer will and organization. Your kryptonite: steamrolling others' feelings and moving so fast you miss important details."
INTJ,The Mastermind,"You're an architect of ideas. Independent and strategic, you see systems clearly and know how to improve them. You excel in roles requiring long-term thinking and intellectual rigor—science, technology, strategy, research, or any field where you can work autonomously on complex problems. You don't need external validation; your own standards are high enough. Your superpower: seeing the big picture and building toward it relentlessly. Your kryptonite: dismissing input from others and expecting everyone to operate at your level."
ENTP,The Visionary,"You love a good intellectual challenge. Quick-witted, innovative, and perpetually curious, you excel at seeing possibilities and arguing any side of a debate. You thrive in entrepreneurship, law, consulting, technology, or creative problem-solving roles. Rules bore you; reinventing them excites you. Your superpower: generating breakthrough ideas and thinking several moves ahead. Your kryptonite: getting bored with execution, talking over people, and leaving a trail of half-finished projects."
INTP,The Architect,"You live in the world of ideas. Analytical, precise, and endlessly curious, you're driven to understand how things work at a fundamental level. You excel in research, technology, academia, or any field requiring deep logical analysis. You prize competence and intellectual honesty above all else. Your superpower: seeing logical flaws instantly and designing elegant solutions. Your kryptonite: analysis paralysis, dismissing emotions as irrational, and struggling to communicate your complex ideas simply."
ESTJ,The Supervisor,"You get things done, period. Organized, decisive, and practical, you bring order to chaos and expect others to pull their weight. You thrive in management, operations, administration, military, law enforcement, or any role requiring clear structure and accountability. You value tradition and proven methods. Your superpower: executing reliably and holding people to standards. Your kryptonite: rigidity, dismissing new approaches too quickly, and coming across as dictatorial when you're just being efficient."
ISTJ,The Inspector,"You're the backbone of any organization. Thorough, dependable, and methodical, you honor your commitments and expect the same from others. You excel in accounting, law, administration, engineering, or any field requiring accuracy and attention to detail. You trust facts over theories and prefer clear expectations. Your superpower: remembering every detail and following through without fail. Your kryptonite: getting stuck in how things have always been done and missing the feelings of people around you."
ESFJ,The Provider,"You're the glue that holds teams together. Warm, responsible, and tuned into others' needs, you create harmony wherever you go. You thrive in healthcare, education, HR, customer service, or any role where you can help people directly and feel appreciated for it. You value tradition and loyalty. Your superpower: making people feel cared for and keeping everything running smoothly. Your kryptonite: taking things too personally, avoiding conflict to keep the peace, and giving until you're empty."
ISFJ,The Protector,"You serve quietly and steadfastly. Loyal, practical, and deeply caring, you notice what needs to be done and do it without fanfare. You excel in healthcare, education, administration, or support roles where your attention to detail and dedication to others can shine. You remember everything about the people you care for. Your superpower: providing reliable, thoughtful support that others can count on. Your kryptonite: overworking yourself, not asking for help, and bottling up resentment until it overflows."
ESTP,The Dynamo,"You thrive on action and live in the moment. Pragmatic, observant, and adaptable, you solve problems as they arise and keep your cool under pressure. You excel in sales, entrepreneurship, emergency response, sports, or any fast-paced environment where quick thinking wins. You'd rather do than discuss. Your superpower: reading situations instantly and taking decisive action. Your kryptonite: ignoring long-term consequences, missing people's feelings in your rush to solve problems, and getting bored with anything routine."
ISTP,The Craftsman,"You're a quiet problem-solver who learns by doing. Analytical, practical, and self-reliant, you understand how things work and fix them efficiently. You excel in trades, technology, engineering, forensics, or any hands-on field requiring technical skill and cool-headed troubleshooting. You value competence and efficiency over politics. Your superpower: staying calm in a crisis and finding practical solutions fast. Your kryptonite: keeping people in the dark about what you're thinking and cutting corners when you get bored."
ESFP,The Performer,"You bring joy wherever you go. Spontaneous, energetic, and genuinely interested in people, you make everything more fun. You thrive in entertainment, sales, hospitality, healthcare, or any role where you can connect with people and think on your feet. You learn by doing and hate being stuck at a desk. Your superpower: reading a room and making people feel good. Your kryptonite: avoiding hard conversations, getting distracted from responsibilities, and not planning for tomorrow because today is more interesting."
ISFP,The Composer,"You experience life deeply and express yourself through action. Gentle, observant, and fiercely loyal to your values, you prefer showing over telling. You excel in healthcare, design, crafts, nature-related work, or any field where you can help quietly and create beauty. You need flexibility and meaning more than money or status. Your superpower: noticing what others miss and caring in practical, tangible ways. Your kryptonite: taking criticism too personally, not advocating for yourself, and getting so focused on now that you miss what's coming."
